id,post,reply,comment,time_comment,sentiment_results,sentiment,confidence,score,entity_post,entity_comment
ZmVlZGJhY2s6MTAxNTkzMzcxMjc0OTQyOTc=,Virgin Galactic and Omaze are giving you the chance to win 2 seats on one of the first commercial flights to space Enter here,518.0,Kris Gundersen so agree Richard put your money to supporting your Virgin employees,2021-07-27,"{'sentiment': '1 star', 'confidence': 0.2748541235923767, 'score': 1}",1 star,0.2748541235923767,1,"first,ORDINAL|Virgin Galactic,ORG|Omaze,PERSON","Kris Gundersen,PERSON|Richard,PERSON"
ZmVlZGJhY2s6MTAxNTkzMTc0NTcyMjkyOTc=,Happy Birthday to Virgin Galactic Astronaut 001 Richard Branson Hope you have a day that’s out of this world,526.0,Happy Birthday to the most inspirational Astronaut Richard Branson 🎂Wish you many more achievements in space exploration 🚀,2021-07-18,"{'sentiment': '5 stars', 'confidence': 0.768147885799408, 'score': 5}",5 stars,0.768147885799408,5,"Richard,PERSON","🚀,ORG|Richard Branson,PERSON"
ZmVlZGJhY2s6MTAxNTkzMTc0NTcyMjkyOTc=,Happy Birthday to Virgin Galactic Astronaut 001 Richard Branson Hope you have a day that’s out of this world,526.0,Happy Birthday to YOU 001 Make it a GREAT new year See ya real soon on the Scarlet Lady,2021-07-20,"{'sentiment': '5 stars', 'confidence': 0.714180588722229, 'score': 5}",5 stars,0.714180588722229,5,"Richard,PERSON","the Scarlet Lady,PRODUCT"
ZmVlZGJhY2s6MTAxNTkzMTc0NTcyMjkyOTc=,Happy Birthday to Virgin Galactic Astronaut 001 Richard Branson Hope you have a day that’s out of this world,526.0,Our greetings and best wishes from Ukraine 🇺🇦 Be cool Astronaut 001,2021-07-19,"{'sentiment': '5 stars', 'confidence': 0.6829715371131897, 'score': 5}",5 stars,0.6829715371131897,5,"Richard,PERSON","Ukraine,GPE"
ZmVlZGJhY2s6MTAxNTkzMTc0NTcyMjkyOTc=,Happy Birthday to Virgin Galactic Astronaut 001 Richard Branson Hope you have a day that’s out of this world,526.0,Happy Birthday You shape the future for all of us Y ❤ It is true that Blue Origin ascended just a a little bit above 100km but “the US government recognizes the boundary of space Karman Line to be at about 80km 50 miles and awards astronaut wings to anyone who exceeds this altitude” Well done Virgin Galactic 90km Y your ticket price per seat is almost for everyone on the other hand Blue Origin is only for Billionaires not even for millionaires,2021-07-19,"{'sentiment': '5 stars', 'confidence': 0.5402944087982178, 'score': 5}",5 stars,0.5402944087982178,5,"Richard,PERSON","US,GPE|Blue Origin,ORG"
ZmVlZGJhY2s6MTAxNTkzMTc0NTcyMjkyOTc=,Happy Birthday to Virgin Galactic Astronaut 001 Richard Branson Hope you have a day that’s out of this world,526.0,Happy Birthday Sir Richard Branson wishing you many more years of great exploits,2021-07-18,"{'sentiment': '5 stars', 'confidence': 0.7143371105194092, 'score': 5}",5 stars,0.7143371105194092,5,"Richard,PERSON","Richard Branson,PERSON"
ZmVlZGJhY2s6MTAxNTkzMTc0NTcyMjkyOTc=,Happy Birthday to Virgin Galactic Astronaut 001 Richard Branson Hope you have a day that’s out of this world,526.0,Happy birthday Sir Richard Branson Astronaut 001 Happy for greatest achievement,2021-07-18,"{'sentiment': '5 stars', 'confidence': 0.8529442548751831, 'score': 5}",5 stars,0.8529442548751831,5,"Richard,PERSON","Richard Branson,PERSON"
ZmVlZGJhY2s6MTAxNTkzMTc0NTcyMjkyOTc=,Happy Birthday to Virgin Galactic Astronaut 001 Richard Branson Hope you have a day that’s out of this world,526.0,Happy Birthday to the Legend,2021-07-18,"{'sentiment': '5 stars', 'confidence': 0.6206289529800415, 'score': 5}",5 stars,0.6206289529800415,5,"Richard,PERSON",
ZmVlZGJhY2s6MTAxNTkzMTc0NTcyMjkyOTc=,Happy Birthday to Virgin Galactic Astronaut 001 Richard Branson Hope you have a day that’s out of this world,526.0,Have a blessed birthday Richard,2021-07-18,"{'sentiment': '5 stars', 'confidence': 0.7247692942619324, 'score': 5}",5 stars,0.7247692942619324,5,"Richard,PERSON","Richard,PERSON"
ZmVlZGJhY2s6MTAxNTkzMTc0NTcyMjkyOTc=,Happy Birthday to Virgin Galactic Astronaut 001 Richard Branson Hope you have a day that’s out of this world,526.0,Happy birthday and CONGRATULATIONS for the successful Virgin Galactic sub orbital flight,2021-07-18,"{'sentiment': '5 stars', 'confidence': 0.6841261982917786, 'score': 5}",5 stars,0.6841261982917786,5,"Richard,PERSON","Virgin Galactic,ORG"
